mix_path,first_speaker_path,second_speaker_path,duration
train\c3bfaca0fed34536851dd8ddc60e49b4\mix_audio.wav,train\c3bfaca0fed34536851dd8ddc60e49b4\first_speaker.wav,train\c3bfaca0fed34536851dd8ddc60e49b4\second_speaker.wav,20.0
train\131299479ac140c58057071001d9acec\mix_audio.wav,train\131299479ac140c58057071001d9acec\first_speaker.wav,train\131299479ac140c58057071001d9acec\second_speaker.wav,19.0
train\a69092eef5d1411986ebb5759b1da048\mix_audio.wav,train\a69092eef5d1411986ebb5759b1da048\first_speaker.wav,train\a69092eef5d1411986ebb5759b1da048\second_speaker.wav,19.0
train\9cb4d84df2364699890e6648f475d606\mix_audio.wav,train\9cb4d84df2364699890e6648f475d606\first_speaker.wav,train\9cb4d84df2364699890e6648f475d606\second_speaker.wav,17.0
train\738b6221b6b94323a2e595e2eaceaf1f\mix_audio.wav,train\738b6221b6b94323a2e595e2eaceaf1f\first_speaker.wav,train\738b6221b6b94323a2e595e2eaceaf1f\second_speaker.wav,16.0
train\c16a80802d0644e095a77777c1d58b39\mix_audio.wav,train\c16a80802d0644e095a77777c1d58b39\first_speaker.wav,train\c16a80802d0644e095a77777c1d58b39\second_speaker.wav,18.0
train\f04c1712caf342e787da10fce16eaefe\mix_audio.wav,train\f04c1712caf342e787da10fce16eaefe\first_speaker.wav,train\f04c1712caf342e787da10fce16eaefe\second_speaker.wav,20.0
train\84dd33a47398417ba57bde2022e1549b\mix_audio.wav,train\84dd33a47398417ba57bde2022e1549b\first_speaker.wav,train\84dd33a47398417ba57bde2022e1549b\second_speaker.wav,16.0
train\fc2db954c7094c968ad70d0219c27eb7\mix_audio.wav,train\fc2db954c7094c968ad70d0219c27eb7\first_speaker.wav,train\fc2db954c7094c968ad70d0219c27eb7\second_speaker.wav,19.0
train\b952fa944afe4de7ba45d388efcb4264\mix_audio.wav,train\b952fa944afe4de7ba45d388efcb4264\first_speaker.wav,train\b952fa944afe4de7ba45d388efcb4264\second_speaker.wav,18.0
train\7c7b636c80ef469f8a4cd53e41e1f4ae\mix_audio.wav,train\7c7b636c80ef469f8a4cd53e41e1f4ae\first_speaker.wav,train\7c7b636c80ef469f8a4cd53e41e1f4ae\second_speaker.wav,20.0
train\98ec2dbcb7da4977a99e96527ffcab6f\mix_audio.wav,train\98ec2dbcb7da4977a99e96527ffcab6f\first_speaker.wav,train\98ec2dbcb7da4977a99e96527ffcab6f\second_speaker.wav,16.0
train\5c4b88cb39b14f8bbbe8a7de13e26579\mix_audio.wav,train\5c4b88cb39b14f8bbbe8a7de13e26579\first_speaker.wav,train\5c4b88cb39b14f8bbbe8a7de13e26579\second_speaker.wav,18.0
train\36eff2f78d3b48048e887f032f28a4a2\mix_audio.wav,train\36eff2f78d3b48048e887f032f28a4a2\first_speaker.wav,train\36eff2f78d3b48048e887f032f28a4a2\second_speaker.wav,16.0
train\e49b8c7a3b8c47a3825bf5ec53810247\mix_audio.wav,train\e49b8c7a3b8c47a3825bf5ec53810247\first_speaker.wav,train\e49b8c7a3b8c47a3825bf5ec53810247\second_speaker.wav,18.0
train\6a07b4bd3b2541f98592753bcc95fe38\mix_audio.wav,train\6a07b4bd3b2541f98592753bcc95fe38\first_speaker.wav,train\6a07b4bd3b2541f98592753bcc95fe38\second_speaker.wav,17.0
train\cbbe414c038d427e8e650de66dbae254\mix_audio.wav,train\cbbe414c038d427e8e650de66dbae254\first_speaker.wav,train\cbbe414c038d427e8e650de66dbae254\second_speaker.wav,20.0
train\9fc5670fa96d446cb2d4de4e96e81f27\mix_audio.wav,train\9fc5670fa96d446cb2d4de4e96e81f27\first_speaker.wav,train\9fc5670fa96d446cb2d4de4e96e81f27\second_speaker.wav,16.0
train\4460ef1e9d844ef8880e2e5406e20a12\mix_audio.wav,train\4460ef1e9d844ef8880e2e5406e20a12\first_speaker.wav,train\4460ef1e9d844ef8880e2e5406e20a12\second_speaker.wav,17.0
train\93cf1b5318154f6795e405e7e6c2d40a\mix_audio.wav,train\93cf1b5318154f6795e405e7e6c2d40a\first_speaker.wav,train\93cf1b5318154f6795e405e7e6c2d40a\second_speaker.wav,17.0
train\57f5bb3ca03049378bb1ec3769ed0bf4\mix_audio.wav,train\57f5bb3ca03049378bb1ec3769ed0bf4\first_speaker.wav,train\57f5bb3ca03049378bb1ec3769ed0bf4\second_speaker.wav,17.0
train\3c205c8fd1be4936a9cfb4f8a8afd96b\mix_audio.wav,train\3c205c8fd1be4936a9cfb4f8a8afd96b\first_speaker.wav,train\3c205c8fd1be4936a9cfb4f8a8afd96b\second_speaker.wav,16.0
train\25015921c87c4ee583bce145ade190ad\mix_audio.wav,train\25015921c87c4ee583bce145ade190ad\first_speaker.wav,train\25015921c87c4ee583bce145ade190ad\second_speaker.wav,16.0
train\550d5ea2655d47b5bd7da2a1b300403c\mix_audio.wav,train\550d5ea2655d47b5bd7da2a1b300403c\first_speaker.wav,train\550d5ea2655d47b5bd7da2a1b300403c\second_speaker.wav,15.0
train\0845a8d5d7fe406db75cd48005919708\mix_audio.wav,train\0845a8d5d7fe406db75cd48005919708\first_speaker.wav,train\0845a8d5d7fe406db75cd48005919708\second_speaker.wav,15.0
train\971ab1e0abb3459baad60b8d242b5e58\mix_audio.wav,train\971ab1e0abb3459baad60b8d242b5e58\first_speaker.wav,train\971ab1e0abb3459baad60b8d242b5e58\second_speaker.wav,17.0
train\faf993df2bb5404388787ce7712d41d4\mix_audio.wav,train\faf993df2bb5404388787ce7712d41d4\first_speaker.wav,train\faf993df2bb5404388787ce7712d41d4\second_speaker.wav,17.0
train\e9ea4a2683e34bcaa95530e7370fbbc2\mix_audio.wav,train\e9ea4a2683e34bcaa95530e7370fbbc2\first_speaker.wav,train\e9ea4a2683e34bcaa95530e7370fbbc2\second_speaker.wav,19.0
train\07824a0590934f688aa46e37354803af\mix_audio.wav,train\07824a0590934f688aa46e37354803af\first_speaker.wav,train\07824a0590934f688aa46e37354803af\second_speaker.wav,19.0
train\7eadb437b833419783515944ba6b8001\mix_audio.wav,train\7eadb437b833419783515944ba6b8001\first_speaker.wav,train\7eadb437b833419783515944ba6b8001\second_speaker.wav,16.0
train\b5939ff8f2dc46e39deff0104284ae8a\mix_audio.wav,train\b5939ff8f2dc46e39deff0104284ae8a\first_speaker.wav,train\b5939ff8f2dc46e39deff0104284ae8a\second_speaker.wav,20.0
train\13594581e20a40529a0bd922a3ff5af8\mix_audio.wav,train\13594581e20a40529a0bd922a3ff5af8\first_speaker.wav,train\13594581e20a40529a0bd922a3ff5af8\second_speaker.wav,16.0
train\d4658a8ba03c4cf18dfc04f60a5061ec\mix_audio.wav,train\d4658a8ba03c4cf18dfc04f60a5061ec\first_speaker.wav,train\d4658a8ba03c4cf18dfc04f60a5061ec\second_speaker.wav,19.0
train\e9ee4181d85047c7a305f65669f25e89\mix_audio.wav,train\e9ee4181d85047c7a305f65669f25e89\first_speaker.wav,train\e9ee4181d85047c7a305f65669f25e89\second_speaker.wav,17.0
train\2140f8561f4042a0aba1588c22bcfe92\mix_audio.wav,train\2140f8561f4042a0aba1588c22bcfe92\first_speaker.wav,train\2140f8561f4042a0aba1588c22bcfe92\second_speaker.wav,20.0
train\bffb261bf4f14199acf3fed6c12f238e\mix_audio.wav,train\bffb261bf4f14199acf3fed6c12f238e\first_speaker.wav,train\bffb261bf4f14199acf3fed6c12f238e\second_speaker.wav,15.0
train\ef4e44ba7c6c4d91ace317830d3d6a5b\mix_audio.wav,train\ef4e44ba7c6c4d91ace317830d3d6a5b\first_speaker.wav,train\ef4e44ba7c6c4d91ace317830d3d6a5b\second_speaker.wav,17.0
train\942c54e845164deb96c8d21ea3d5b9e7\mix_audio.wav,train\942c54e845164deb96c8d21ea3d5b9e7\first_speaker.wav,train\942c54e845164deb96c8d21ea3d5b9e7\second_speaker.wav,17.0
train\53179a2419704c0bb4090fe23b85c071\mix_audio.wav,train\53179a2419704c0bb4090fe23b85c071\first_speaker.wav,train\53179a2419704c0bb4090fe23b85c071\second_speaker.wav,16.0
train\a05cb844cdf14dee859f2d7e0a5544ce\mix_audio.wav,train\a05cb844cdf14dee859f2d7e0a5544ce\first_speaker.wav,train\a05cb844cdf14dee859f2d7e0a5544ce\second_speaker.wav,17.0
train\fc35711e07c2425e8de34ea0ecbb7387\mix_audio.wav,train\fc35711e07c2425e8de34ea0ecbb7387\first_speaker.wav,train\fc35711e07c2425e8de34ea0ecbb7387\second_speaker.wav,15.0
train\bd8bad3b4e554e758d6a21891a5298ba\mix_audio.wav,train\bd8bad3b4e554e758d6a21891a5298ba\first_speaker.wav,train\bd8bad3b4e554e758d6a21891a5298ba\second_speaker.wav,18.0
train\35b8adbc0e92482cbd1076e92a3e3fb5\mix_audio.wav,train\35b8adbc0e92482cbd1076e92a3e3fb5\first_speaker.wav,train\35b8adbc0e92482cbd1076e92a3e3fb5\second_speaker.wav,17.0
train\25f59ee228cc465dafa9b1438bf50e15\mix_audio.wav,train\25f59ee228cc465dafa9b1438bf50e15\first_speaker.wav,train\25f59ee228cc465dafa9b1438bf50e15\second_speaker.wav,15.0
train\64a0e4b7bdd5482e812eeb62343f411c\mix_audio.wav,train\64a0e4b7bdd5482e812eeb62343f411c\first_speaker.wav,train\64a0e4b7bdd5482e812eeb62343f411c\second_speaker.wav,16.0
train\bfb32828acf84c86a4de62c9f3a0fc80\mix_audio.wav,train\bfb32828acf84c86a4de62c9f3a0fc80\first_speaker.wav,train\bfb32828acf84c86a4de62c9f3a0fc80\second_speaker.wav,17.0
train\0d4b7bb0903f40839fa64193438f9ba8\mix_audio.wav,train\0d4b7bb0903f40839fa64193438f9ba8\first_speaker.wav,train\0d4b7bb0903f40839fa64193438f9ba8\second_speaker.wav,20.0
train\159836fc398d4c14b5ecbad90c1f48ce\mix_audio.wav,train\159836fc398d4c14b5ecbad90c1f48ce\first_speaker.wav,train\159836fc398d4c14b5ecbad90c1f48ce\second_speaker.wav,15.0
train\eb4f591311a047fdb9643b6401984ae4\mix_audio.wav,train\eb4f591311a047fdb9643b6401984ae4\first_speaker.wav,train\eb4f591311a047fdb9643b6401984ae4\second_speaker.wav,15.0
train\00b803da3912405181e6fd17428df75e\mix_audio.wav,train\00b803da3912405181e6fd17428df75e\first_speaker.wav,train\00b803da3912405181e6fd17428df75e\second_speaker.wav,17.0
train\122ed9cfda35431292accb06e7a6dfa2\mix_audio.wav,train\122ed9cfda35431292accb06e7a6dfa2\first_speaker.wav,train\122ed9cfda35431292accb06e7a6dfa2\second_speaker.wav,20.0
train\1febbda852a2476f9f64f68b28be171c\mix_audio.wav,train\1febbda852a2476f9f64f68b28be171c\first_speaker.wav,train\1febbda852a2476f9f64f68b28be171c\second_speaker.wav,16.0
train\12cd9bf23e064d4b8afc04bac9d40b8c\mix_audio.wav,train\12cd9bf23e064d4b8afc04bac9d40b8c\first_speaker.wav,train\12cd9bf23e064d4b8afc04bac9d40b8c\second_speaker.wav,18.0
train\dfba9a80dfe04cbca98c995f0cdd05c9\mix_audio.wav,train\dfba9a80dfe04cbca98c995f0cdd05c9\first_speaker.wav,train\dfba9a80dfe04cbca98c995f0cdd05c9\second_speaker.wav,20.0
train\cfa1ba47799849ee996412cc37058d7d\mix_audio.wav,train\cfa1ba47799849ee996412cc37058d7d\first_speaker.wav,train\cfa1ba47799849ee996412cc37058d7d\second_speaker.wav,19.0
train\fc449edad0a741b3bc1ab6fc869afa0e\mix_audio.wav,train\fc449edad0a741b3bc1ab6fc869afa0e\first_speaker.wav,train\fc449edad0a741b3bc1ab6fc869afa0e\second_speaker.wav,18.0
train\e23d2588f38e4b40b963c0a3bd5fa78e\mix_audio.wav,train\e23d2588f38e4b40b963c0a3bd5fa78e\first_speaker.wav,train\e23d2588f38e4b40b963c0a3bd5fa78e\second_speaker.wav,18.0
train\e9a39dc6aa75488c9dd4ed02cdc83f76\mix_audio.wav,train\e9a39dc6aa75488c9dd4ed02cdc83f76\first_speaker.wav,train\e9a39dc6aa75488c9dd4ed02cdc83f76\second_speaker.wav,16.0
train\b7ebc4d1bc1342c59d71613e0de370d9\mix_audio.wav,train\b7ebc4d1bc1342c59d71613e0de370d9\first_speaker.wav,train\b7ebc4d1bc1342c59d71613e0de370d9\second_speaker.wav,19.0
train\d2ae913c982f471fb95c7188670865cb\mix_audio.wav,train\d2ae913c982f471fb95c7188670865cb\first_speaker.wav,train\d2ae913c982f471fb95c7188670865cb\second_speaker.wav,17.0
train\5ec51f132f2345b6adcbb76b72e82ba5\mix_audio.wav,train\5ec51f132f2345b6adcbb76b72e82ba5\first_speaker.wav,train\5ec51f132f2345b6adcbb76b72e82ba5\second_speaker.wav,20.0
train\411d4aac3ac4469d8fe8feb8e7237e13\mix_audio.wav,train\411d4aac3ac4469d8fe8feb8e7237e13\first_speaker.wav,train\411d4aac3ac4469d8fe8feb8e7237e13\second_speaker.wav,17.0
train\a8c5b341c40f497c818ad3d2c70064f7\mix_audio.wav,train\a8c5b341c40f497c818ad3d2c70064f7\first_speaker.wav,train\a8c5b341c40f497c818ad3d2c70064f7\second_speaker.wav,18.0
train\f37dd84eed9d4e53a707791d8bd85673\mix_audio.wav,train\f37dd84eed9d4e53a707791d8bd85673\first_speaker.wav,train\f37dd84eed9d4e53a707791d8bd85673\second_speaker.wav,20.0
train\d215c39de219432dba5e43dd24353923\mix_audio.wav,train\d215c39de219432dba5e43dd24353923\first_speaker.wav,train\d215c39de219432dba5e43dd24353923\second_speaker.wav,19.0
train\2a6f5f24ee42437685151654a8a1cef7\mix_audio.wav,train\2a6f5f24ee42437685151654a8a1cef7\first_speaker.wav,train\2a6f5f24ee42437685151654a8a1cef7\second_speaker.wav,18.0
train\5894e5e3caea44628a2907533836fddb\mix_audio.wav,train\5894e5e3caea44628a2907533836fddb\first_speaker.wav,train\5894e5e3caea44628a2907533836fddb\second_speaker.wav,16.0
train\cb9e96fa98da491dbf2073df5c0a8443\mix_audio.wav,train\cb9e96fa98da491dbf2073df5c0a8443\first_speaker.wav,train\cb9e96fa98da491dbf2073df5c0a8443\second_speaker.wav,20.0
train\ceb716cbc06d45a58fcff18bbd1eb4d3\mix_audio.wav,train\ceb716cbc06d45a58fcff18bbd1eb4d3\first_speaker.wav,train\ceb716cbc06d45a58fcff18bbd1eb4d3\second_speaker.wav,20.0
train\167b92c29b9844ab994dd19737c47f0b\mix_audio.wav,train\167b92c29b9844ab994dd19737c47f0b\first_speaker.wav,train\167b92c29b9844ab994dd19737c47f0b\second_speaker.wav,20.0
train\889e650d43414a26aa58eaf87e869eaf\mix_audio.wav,train\889e650d43414a26aa58eaf87e869eaf\first_speaker.wav,train\889e650d43414a26aa58eaf87e869eaf\second_speaker.wav,17.0
train\e34a08f9a8d445ef9461de90a65e58b0\mix_audio.wav,train\e34a08f9a8d445ef9461de90a65e58b0\first_speaker.wav,train\e34a08f9a8d445ef9461de90a65e58b0\second_speaker.wav,19.0
train\74b2a18fd99e4d7a9c8727726cefff7f\mix_audio.wav,train\74b2a18fd99e4d7a9c8727726cefff7f\first_speaker.wav,train\74b2a18fd99e4d7a9c8727726cefff7f\second_speaker.wav,19.0
train\fe5280884d554011804001210c5d1c4b\mix_audio.wav,train\fe5280884d554011804001210c5d1c4b\first_speaker.wav,train\fe5280884d554011804001210c5d1c4b\second_speaker.wav,20.0
train\3520abf55cf14ed1ae8f1228463fea10\mix_audio.wav,train\3520abf55cf14ed1ae8f1228463fea10\first_speaker.wav,train\3520abf55cf14ed1ae8f1228463fea10\second_speaker.wav,17.0
train\b0473be54d6c4d4c827be35184cc6620\mix_audio.wav,train\b0473be54d6c4d4c827be35184cc6620\first_speaker.wav,train\b0473be54d6c4d4c827be35184cc6620\second_speaker.wav,15.0
train\4242cfe4132d4f61ad161c8d337a1ba8\mix_audio.wav,train\4242cfe4132d4f61ad161c8d337a1ba8\first_speaker.wav,train\4242cfe4132d4f61ad161c8d337a1ba8\second_speaker.wav,20.0
train\06be5882cd7d410cb69d732f7e7ec42f\mix_audio.wav,train\06be5882cd7d410cb69d732f7e7ec42f\first_speaker.wav,train\06be5882cd7d410cb69d732f7e7ec42f\second_speaker.wav,17.0
train\1296b8b808d4448e8283ab6d54e18f3e\mix_audio.wav,train\1296b8b808d4448e8283ab6d54e18f3e\first_speaker.wav,train\1296b8b808d4448e8283ab6d54e18f3e\second_speaker.wav,15.0
train\d44d9e1bcfd14396b18df485d8bc1f10\mix_audio.wav,train\d44d9e1bcfd14396b18df485d8bc1f10\first_speaker.wav,train\d44d9e1bcfd14396b18df485d8bc1f10\second_speaker.wav,19.0
train\28e9e33e473242b3bed387300d3d7298\mix_audio.wav,train\28e9e33e473242b3bed387300d3d7298\first_speaker.wav,train\28e9e33e473242b3bed387300d3d7298\second_speaker.wav,16.0
train\6285b638a7a34cd0bd3bd071e4f8a0ba\mix_audio.wav,train\6285b638a7a34cd0bd3bd071e4f8a0ba\first_speaker.wav,train\6285b638a7a34cd0bd3bd071e4f8a0ba\second_speaker.wav,17.0
train\761d88ec98ad4631961ee907250b7257\mix_audio.wav,train\761d88ec98ad4631961ee907250b7257\first_speaker.wav,train\761d88ec98ad4631961ee907250b7257\second_speaker.wav,15.0
train\e93c3ee0c42041be900bc09291382b24\mix_audio.wav,train\e93c3ee0c42041be900bc09291382b24\first_speaker.wav,train\e93c3ee0c42041be900bc09291382b24\second_speaker.wav,17.0
train\719b0df36ec6482ca9b96187f2d82fea\mix_audio.wav,train\719b0df36ec6482ca9b96187f2d82fea\first_speaker.wav,train\719b0df36ec6482ca9b96187f2d82fea\second_speaker.wav,17.0
train\8ad2936d8a4f40fc8125b7b315f0dc29\mix_audio.wav,train\8ad2936d8a4f40fc8125b7b315f0dc29\first_speaker.wav,train\8ad2936d8a4f40fc8125b7b315f0dc29\second_speaker.wav,19.0
train\319ccfd5fc264735a346d9ecd1bd774c\mix_audio.wav,train\319ccfd5fc264735a346d9ecd1bd774c\first_speaker.wav,train\319ccfd5fc264735a346d9ecd1bd774c\second_speaker.wav,18.0
train\9343e7ebc0b949f0bea79b51cce8eb5d\mix_audio.wav,train\9343e7ebc0b949f0bea79b51cce8eb5d\first_speaker.wav,train\9343e7ebc0b949f0bea79b51cce8eb5d\second_speaker.wav,15.0
train\b87271fc5efa46f4b4081ca0100c31c5\mix_audio.wav,train\b87271fc5efa46f4b4081ca0100c31c5\first_speaker.wav,train\b87271fc5efa46f4b4081ca0100c31c5\second_speaker.wav,19.0
train\e94cb065827342b2be1772113d7bb432\mix_audio.wav,train\e94cb065827342b2be1772113d7bb432\first_speaker.wav,train\e94cb065827342b2be1772113d7bb432\second_speaker.wav,17.0
train\c5e8c290818a450086c72feeb86d20f5\mix_audio.wav,train\c5e8c290818a450086c72feeb86d20f5\first_speaker.wav,train\c5e8c290818a450086c72feeb86d20f5\second_speaker.wav,17.0
train\6a87c72562e3428fb353b2dfc543b0cf\mix_audio.wav,train\6a87c72562e3428fb353b2dfc543b0cf\first_speaker.wav,train\6a87c72562e3428fb353b2dfc543b0cf\second_speaker.wav,16.0
