mix_path,voice_path,noise_path,duration
train\mix\0a2a0c0d430740ed919314ca42c4ca44\mix.wav,train\source\0a2a0c0d430740ed919314ca42c4ca44\1.wav,train\source\0a2a0c0d430740ed919314ca42c4ca44\2.wav,15.0
train\mix\0a4c2df3364c43568ce50a2affb74821\mix.wav,train\source\0a4c2df3364c43568ce50a2affb74821\1.wav,train\source\0a4c2df3364c43568ce50a2affb74821\2.wav,15.0
train\mix\0a54c10b12bf498c9759dd9c50be07c8\mix.wav,train\source\0a54c10b12bf498c9759dd9c50be07c8\1.wav,train\source\0a54c10b12bf498c9759dd9c50be07c8\2.wav,15.0
train\mix\0a96a35db00c4f85adeb9c55a88ff7a7\mix.wav,train\source\0a96a35db00c4f85adeb9c55a88ff7a7\1.wav,train\source\0a96a35db00c4f85adeb9c55a88ff7a7\2.wav,15.0
train\mix\0ade0a71dcb64a6793463a6f591dfe8a\mix.wav,train\source\0ade0a71dcb64a6793463a6f591dfe8a\1.wav,train\source\0ade0a71dcb64a6793463a6f591dfe8a\2.wav,15.0
train\mix\0afe601d1f474eb8ba63baf8ba6a827e\mix.wav,train\source\0afe601d1f474eb8ba63baf8ba6a827e\1.wav,train\source\0afe601d1f474eb8ba63baf8ba6a827e\2.wav,15.0
train\mix\0b15e17759a44562a60feeab77ceeebb\mix.wav,train\source\0b15e17759a44562a60feeab77ceeebb\1.wav,train\source\0b15e17759a44562a60feeab77ceeebb\2.wav,15.0
train\mix\0b3b31e1a4ad4bacb4504631b5a7cd40\mix.wav,train\source\0b3b31e1a4ad4bacb4504631b5a7cd40\1.wav,train\source\0b3b31e1a4ad4bacb4504631b5a7cd40\2.wav,15.0
train\mix\0b845329849a4025ba4626fb769c6ccf\mix.wav,train\source\0b845329849a4025ba4626fb769c6ccf\1.wav,train\source\0b845329849a4025ba4626fb769c6ccf\2.wav,15.0
train\mix\0b8d83d575eb4127898cd878864ddeb1\mix.wav,train\source\0b8d83d575eb4127898cd878864ddeb1\1.wav,train\source\0b8d83d575eb4127898cd878864ddeb1\2.wav,15.0
train\mix\0b9b2f20316642eba2680e441a3a17b6\mix.wav,train\source\0b9b2f20316642eba2680e441a3a17b6\1.wav,train\source\0b9b2f20316642eba2680e441a3a17b6\2.wav,15.0
train\mix\0bc4f9ac8ea1426e93122be24c592868\mix.wav,train\source\0bc4f9ac8ea1426e93122be24c592868\1.wav,train\source\0bc4f9ac8ea1426e93122be24c592868\2.wav,15.0
train\mix\0c982b628d7e437cbeed44772374c11e\mix.wav,train\source\0c982b628d7e437cbeed44772374c11e\1.wav,train\source\0c982b628d7e437cbeed44772374c11e\2.wav,15.0
train\mix\0c993b3fc7d04130b2c180262bca871a\mix.wav,train\source\0c993b3fc7d04130b2c180262bca871a\1.wav,train\source\0c993b3fc7d04130b2c180262bca871a\2.wav,15.0
train\mix\0cbef662185e4c9089bdc4a03f5eea72\mix.wav,train\source\0cbef662185e4c9089bdc4a03f5eea72\1.wav,train\source\0cbef662185e4c9089bdc4a03f5eea72\2.wav,15.0
train\mix\0cd44477bfb44098adfe617eaf5623cd\mix.wav,train\source\0cd44477bfb44098adfe617eaf5623cd\1.wav,train\source\0cd44477bfb44098adfe617eaf5623cd\2.wav,15.0
train\mix\0cdb89c730074ddf85ddff6e4c7699eb\mix.wav,train\source\0cdb89c730074ddf85ddff6e4c7699eb\1.wav,train\source\0cdb89c730074ddf85ddff6e4c7699eb\2.wav,15.0
train\mix\0d1d90a0ceef4ff686bf82fdda20fae9\mix.wav,train\source\0d1d90a0ceef4ff686bf82fdda20fae9\1.wav,train\source\0d1d90a0ceef4ff686bf82fdda20fae9\2.wav,15.0
train\mix\0d738e73c01d4651950f80c7c1fd0c88\mix.wav,train\source\0d738e73c01d4651950f80c7c1fd0c88\1.wav,train\source\0d738e73c01d4651950f80c7c1fd0c88\2.wav,15.0
train\mix\0dc3b36938a341749c05a5355dd4c1f2\mix.wav,train\source\0dc3b36938a341749c05a5355dd4c1f2\1.wav,train\source\0dc3b36938a341749c05a5355dd4c1f2\2.wav,15.0
train\mix\0e58be058f66458ea4f8c52942c6e33c\mix.wav,train\source\0e58be058f66458ea4f8c52942c6e33c\1.wav,train\source\0e58be058f66458ea4f8c52942c6e33c\2.wav,15.0
train\mix\0e6d7ce1f9e641be8d3633cd7d5d0d54\mix.wav,train\source\0e6d7ce1f9e641be8d3633cd7d5d0d54\1.wav,train\source\0e6d7ce1f9e641be8d3633cd7d5d0d54\2.wav,15.0
train\mix\0e6dde6a49784b39a02a02f215ab8a89\mix.wav,train\source\0e6dde6a49784b39a02a02f215ab8a89\1.wav,train\source\0e6dde6a49784b39a02a02f215ab8a89\2.wav,15.0
train\mix\0e72325324ee4be0b31afb6e99b05337\mix.wav,train\source\0e72325324ee4be0b31afb6e99b05337\1.wav,train\source\0e72325324ee4be0b31afb6e99b05337\2.wav,15.0
train\mix\0e798da2d2a64eafa655b17fa79467ba\mix.wav,train\source\0e798da2d2a64eafa655b17fa79467ba\1.wav,train\source\0e798da2d2a64eafa655b17fa79467ba\2.wav,15.0
train\mix\0e843f7a998240469f301e31c39acf4a\mix.wav,train\source\0e843f7a998240469f301e31c39acf4a\1.wav,train\source\0e843f7a998240469f301e31c39acf4a\2.wav,15.0
train\mix\0f1c133a956b4b75914b63b49c2d78b6\mix.wav,train\source\0f1c133a956b4b75914b63b49c2d78b6\1.wav,train\source\0f1c133a956b4b75914b63b49c2d78b6\2.wav,15.0
train\mix\0f6d9c9e87f94fe381114021bcbf399d\mix.wav,train\source\0f6d9c9e87f94fe381114021bcbf399d\1.wav,train\source\0f6d9c9e87f94fe381114021bcbf399d\2.wav,15.0
train\mix\0f8c0fae2a4f4cc6ae9d62a8ed5ff68d\mix.wav,train\source\0f8c0fae2a4f4cc6ae9d62a8ed5ff68d\1.wav,train\source\0f8c0fae2a4f4cc6ae9d62a8ed5ff68d\2.wav,15.0
train\mix\0fcb69fccd1c4cb4810561706d348906\mix.wav,train\source\0fcb69fccd1c4cb4810561706d348906\1.wav,train\source\0fcb69fccd1c4cb4810561706d348906\2.wav,15.0
train\mix\10134992833342d6a4e919e85ed81d9f\mix.wav,train\source\10134992833342d6a4e919e85ed81d9f\1.wav,train\source\10134992833342d6a4e919e85ed81d9f\2.wav,15.0
train\mix\1095386f9ca041c9a459fe2ffc851c28\mix.wav,train\source\1095386f9ca041c9a459fe2ffc851c28\1.wav,train\source\1095386f9ca041c9a459fe2ffc851c28\2.wav,15.0
train\mix\116efc1f061646438c1080c264e6cd1f\mix.wav,train\source\116efc1f061646438c1080c264e6cd1f\1.wav,train\source\116efc1f061646438c1080c264e6cd1f\2.wav,15.0
train\mix\119852117e8541ec81732b7e22a516f3\mix.wav,train\source\119852117e8541ec81732b7e22a516f3\1.wav,train\source\119852117e8541ec81732b7e22a516f3\2.wav,15.0
train\mix\11a64e21e9d6400c961bb71d033085bd\mix.wav,train\source\11a64e21e9d6400c961bb71d033085bd\1.wav,train\source\11a64e21e9d6400c961bb71d033085bd\2.wav,15.0
train\mix\11faafcdf712444880d3964e62b3c84d\mix.wav,train\source\11faafcdf712444880d3964e62b3c84d\1.wav,train\source\11faafcdf712444880d3964e62b3c84d\2.wav,15.0
train\mix\1218c780f61b4326b0f6cc1a90a965cd\mix.wav,train\source\1218c780f61b4326b0f6cc1a90a965cd\1.wav,train\source\1218c780f61b4326b0f6cc1a90a965cd\2.wav,15.0
train\mix\12463d1d23bd4d3793e81f0bd64ce6ab\mix.wav,train\source\12463d1d23bd4d3793e81f0bd64ce6ab\1.wav,train\source\12463d1d23bd4d3793e81f0bd64ce6ab\2.wav,15.0
train\mix\128f64f7b29140c2b1f805d774f4b8d0\mix.wav,train\source\128f64f7b29140c2b1f805d774f4b8d0\1.wav,train\source\128f64f7b29140c2b1f805d774f4b8d0\2.wav,15.0
train\mix\12a58114c31b4111aad901a28160bc1e\mix.wav,train\source\12a58114c31b4111aad901a28160bc1e\1.wav,train\source\12a58114c31b4111aad901a28160bc1e\2.wav,15.0
train\mix\12e78025930b47e38d410012e5b03034\mix.wav,train\source\12e78025930b47e38d410012e5b03034\1.wav,train\source\12e78025930b47e38d410012e5b03034\2.wav,15.0
train\mix\12e7f09396c7495ab5fa5c58ace9bb93\mix.wav,train\source\12e7f09396c7495ab5fa5c58ace9bb93\1.wav,train\source\12e7f09396c7495ab5fa5c58ace9bb93\2.wav,15.0
train\mix\135284261cc4494ba7bdf2a451c3fc86\mix.wav,train\source\135284261cc4494ba7bdf2a451c3fc86\1.wav,train\source\135284261cc4494ba7bdf2a451c3fc86\2.wav,15.0
train\mix\135e16a3c73042559bf96eb13dc791fa\mix.wav,train\source\135e16a3c73042559bf96eb13dc791fa\1.wav,train\source\135e16a3c73042559bf96eb13dc791fa\2.wav,15.0
train\mix\13bacb722c9e4a8bb0b3f153865d738f\mix.wav,train\source\13bacb722c9e4a8bb0b3f153865d738f\1.wav,train\source\13bacb722c9e4a8bb0b3f153865d738f\2.wav,15.0
train\mix\13c2fd717eab4b24879cf270c788b88c\mix.wav,train\source\13c2fd717eab4b24879cf270c788b88c\1.wav,train\source\13c2fd717eab4b24879cf270c788b88c\2.wav,15.0
train\mix\13c6115fc1824b9f9592c7b125950dc7\mix.wav,train\source\13c6115fc1824b9f9592c7b125950dc7\1.wav,train\source\13c6115fc1824b9f9592c7b125950dc7\2.wav,15.0
train\mix\13db11e4bc4a4934ae9f1d75aaef9d67\mix.wav,train\source\13db11e4bc4a4934ae9f1d75aaef9d67\1.wav,train\source\13db11e4bc4a4934ae9f1d75aaef9d67\2.wav,15.0
train\mix\14191174a2cf4f40a56d7a5ebaeaf8ab\mix.wav,train\source\14191174a2cf4f40a56d7a5ebaeaf8ab\1.wav,train\source\14191174a2cf4f40a56d7a5ebaeaf8ab\2.wav,15.0
train\mix\1481c8e67ae54d0fa12632b76db172fc\mix.wav,train\source\1481c8e67ae54d0fa12632b76db172fc\1.wav,train\source\1481c8e67ae54d0fa12632b76db172fc\2.wav,15.0
train\mix\1486593d85934208aadb6ceb56684ba9\mix.wav,train\source\1486593d85934208aadb6ceb56684ba9\1.wav,train\source\1486593d85934208aadb6ceb56684ba9\2.wav,15.0
train\mix\149fa5f9a61d40e09d649f5ea985f8b0\mix.wav,train\source\149fa5f9a61d40e09d649f5ea985f8b0\1.wav,train\source\149fa5f9a61d40e09d649f5ea985f8b0\2.wav,15.0
train\mix\14f14d62c9ae402faf8c0e166d054c0c\mix.wav,train\source\14f14d62c9ae402faf8c0e166d054c0c\1.wav,train\source\14f14d62c9ae402faf8c0e166d054c0c\2.wav,15.0
train\mix\151d7a22cf444b1da8d9df7ae7ccb2ca\mix.wav,train\source\151d7a22cf444b1da8d9df7ae7ccb2ca\1.wav,train\source\151d7a22cf444b1da8d9df7ae7ccb2ca\2.wav,15.0
train\mix\15c0f416888a4d4186717c0997338405\mix.wav,train\source\15c0f416888a4d4186717c0997338405\1.wav,train\source\15c0f416888a4d4186717c0997338405\2.wav,15.0
train\mix\15cca0d90c2b4b40905eb7accb327c9d\mix.wav,train\source\15cca0d90c2b4b40905eb7accb327c9d\1.wav,train\source\15cca0d90c2b4b40905eb7accb327c9d\2.wav,15.0
train\mix\15d8a9ad0c014ba399341f36d1b99cec\mix.wav,train\source\15d8a9ad0c014ba399341f36d1b99cec\1.wav,train\source\15d8a9ad0c014ba399341f36d1b99cec\2.wav,15.0
train\mix\15e1f22a32704a9bbfa658fc48c1ac09\mix.wav,train\source\15e1f22a32704a9bbfa658fc48c1ac09\1.wav,train\source\15e1f22a32704a9bbfa658fc48c1ac09\2.wav,15.0
train\mix\1625e944e1914f7f972550d7d73075fa\mix.wav,train\source\1625e944e1914f7f972550d7d73075fa\1.wav,train\source\1625e944e1914f7f972550d7d73075fa\2.wav,15.0
train\mix\1682386fe74d40f0b9646c5635c1309e\mix.wav,train\source\1682386fe74d40f0b9646c5635c1309e\1.wav,train\source\1682386fe74d40f0b9646c5635c1309e\2.wav,15.0
train\mix\16f5dbd2055d4e119ded5b9e676a89e3\mix.wav,train\source\16f5dbd2055d4e119ded5b9e676a89e3\1.wav,train\source\16f5dbd2055d4e119ded5b9e676a89e3\2.wav,15.0
train\mix\171276aa106148808d4f74b37c1aab84\mix.wav,train\source\171276aa106148808d4f74b37c1aab84\1.wav,train\source\171276aa106148808d4f74b37c1aab84\2.wav,15.0
train\mix\1720226f53b447ef9937ee17449f8e0e\mix.wav,train\source\1720226f53b447ef9937ee17449f8e0e\1.wav,train\source\1720226f53b447ef9937ee17449f8e0e\2.wav,15.0
train\mix\17a706a72fc74f4da52708fda659ac1f\mix.wav,train\source\17a706a72fc74f4da52708fda659ac1f\1.wav,train\source\17a706a72fc74f4da52708fda659ac1f\2.wav,15.0
train\mix\18a410083a4c420dbe112d2f7079bb94\mix.wav,train\source\18a410083a4c420dbe112d2f7079bb94\1.wav,train\source\18a410083a4c420dbe112d2f7079bb94\2.wav,15.0
train\mix\18c15b693a0e4f33b0333e1375501254\mix.wav,train\source\18c15b693a0e4f33b0333e1375501254\1.wav,train\source\18c15b693a0e4f33b0333e1375501254\2.wav,15.0
train\mix\18c9749858ea497b8adb1d706267d705\mix.wav,train\source\18c9749858ea497b8adb1d706267d705\1.wav,train\source\18c9749858ea497b8adb1d706267d705\2.wav,15.0
train\mix\18d218ec90fe4fe3a727bb8b4604559a\mix.wav,train\source\18d218ec90fe4fe3a727bb8b4604559a\1.wav,train\source\18d218ec90fe4fe3a727bb8b4604559a\2.wav,15.0
train\mix\18eaeb9170e44609b795ef20ec89c919\mix.wav,train\source\18eaeb9170e44609b795ef20ec89c919\1.wav,train\source\18eaeb9170e44609b795ef20ec89c919\2.wav,15.0
train\mix\1904133f30054b7fb1f0387d029100f1\mix.wav,train\source\1904133f30054b7fb1f0387d029100f1\1.wav,train\source\1904133f30054b7fb1f0387d029100f1\2.wav,15.0
train\mix\190a16fa12ee4f41a479737bd4df89cf\mix.wav,train\source\190a16fa12ee4f41a479737bd4df89cf\1.wav,train\source\190a16fa12ee4f41a479737bd4df89cf\2.wav,15.0
train\mix\193d29d9515c4893b97c1f3ff4f7781a\mix.wav,train\source\193d29d9515c4893b97c1f3ff4f7781a\1.wav,train\source\193d29d9515c4893b97c1f3ff4f7781a\2.wav,15.0
train\mix\19e28278c4d6492886f8bbee6b1568bc\mix.wav,train\source\19e28278c4d6492886f8bbee6b1568bc\1.wav,train\source\19e28278c4d6492886f8bbee6b1568bc\2.wav,15.0
train\mix\19ea06d13312420e9fa257313184dc55\mix.wav,train\source\19ea06d13312420e9fa257313184dc55\1.wav,train\source\19ea06d13312420e9fa257313184dc55\2.wav,15.0
train\mix\1a16dc42b65a4ffa842c9f1be9e77dc7\mix.wav,train\source\1a16dc42b65a4ffa842c9f1be9e77dc7\1.wav,train\source\1a16dc42b65a4ffa842c9f1be9e77dc7\2.wav,15.0
train\mix\1a2b036abea748aaa2ba75c1fb32faab\mix.wav,train\source\1a2b036abea748aaa2ba75c1fb32faab\1.wav,train\source\1a2b036abea748aaa2ba75c1fb32faab\2.wav,15.0
train\mix\1aa0357774b4413cb43750be6e698379\mix.wav,train\source\1aa0357774b4413cb43750be6e698379\1.wav,train\source\1aa0357774b4413cb43750be6e698379\2.wav,15.0
train\mix\1aa3e16090fc45c7a0071554b3ca23ac\mix.wav,train\source\1aa3e16090fc45c7a0071554b3ca23ac\1.wav,train\source\1aa3e16090fc45c7a0071554b3ca23ac\2.wav,15.0
train\mix\1b79a396574546d093085e2ed33b3b4b\mix.wav,train\source\1b79a396574546d093085e2ed33b3b4b\1.wav,train\source\1b79a396574546d093085e2ed33b3b4b\2.wav,15.0
train\mix\1b9a88fa3cee47d2a15d865dabfd78e1\mix.wav,train\source\1b9a88fa3cee47d2a15d865dabfd78e1\1.wav,train\source\1b9a88fa3cee47d2a15d865dabfd78e1\2.wav,15.0
train\mix\1bdf0b0af27743c3b8c1083e3922ecb4\mix.wav,train\source\1bdf0b0af27743c3b8c1083e3922ecb4\1.wav,train\source\1bdf0b0af27743c3b8c1083e3922ecb4\2.wav,15.0
train\mix\1d4930b3b18a424f899d98bd1b615d0c\mix.wav,train\source\1d4930b3b18a424f899d98bd1b615d0c\1.wav,train\source\1d4930b3b18a424f899d98bd1b615d0c\2.wav,15.0
train\mix\1d61bc26c05149eb87979136ab5c001e\mix.wav,train\source\1d61bc26c05149eb87979136ab5c001e\1.wav,train\source\1d61bc26c05149eb87979136ab5c001e\2.wav,15.0
train\mix\1d77ec46e5ef46bf9eb8a5a9ef7deb1e\mix.wav,train\source\1d77ec46e5ef46bf9eb8a5a9ef7deb1e\1.wav,train\source\1d77ec46e5ef46bf9eb8a5a9ef7deb1e\2.wav,15.0
train\mix\1d9824f4facd44d6b5320c4fe60f224c\mix.wav,train\source\1d9824f4facd44d6b5320c4fe60f224c\1.wav,train\source\1d9824f4facd44d6b5320c4fe60f224c\2.wav,15.0
train\mix\1da2756297f349d3b72bb969ea408541\mix.wav,train\source\1da2756297f349d3b72bb969ea408541\1.wav,train\source\1da2756297f349d3b72bb969ea408541\2.wav,15.0
train\mix\1eae08bf0b744cca8a0d9b4f21f4af49\mix.wav,train\source\1eae08bf0b744cca8a0d9b4f21f4af49\1.wav,train\source\1eae08bf0b744cca8a0d9b4f21f4af49\2.wav,15.0
train\mix\1eb9495745564b4aa19a6b560065f3a4\mix.wav,train\source\1eb9495745564b4aa19a6b560065f3a4\1.wav,train\source\1eb9495745564b4aa19a6b560065f3a4\2.wav,15.0
train\mix\1ed7a7fa50b941409edc7b711be69098\mix.wav,train\source\1ed7a7fa50b941409edc7b711be69098\1.wav,train\source\1ed7a7fa50b941409edc7b711be69098\2.wav,15.0
train\mix\1efd6eac223b42fc81dadca8bc96ffb0\mix.wav,train\source\1efd6eac223b42fc81dadca8bc96ffb0\1.wav,train\source\1efd6eac223b42fc81dadca8bc96ffb0\2.wav,15.0
train\mix\1f203c6c69ba4da1bcb1245c31b44cb9\mix.wav,train\source\1f203c6c69ba4da1bcb1245c31b44cb9\1.wav,train\source\1f203c6c69ba4da1bcb1245c31b44cb9\2.wav,15.0
train\mix\1f36b0c91fc84a52b8052c23554a782b\mix.wav,train\source\1f36b0c91fc84a52b8052c23554a782b\1.wav,train\source\1f36b0c91fc84a52b8052c23554a782b\2.wav,15.0
train\mix\1f439594992d4681aa820c2e61955570\mix.wav,train\source\1f439594992d4681aa820c2e61955570\1.wav,train\source\1f439594992d4681aa820c2e61955570\2.wav,15.0
train\mix\1f738cec5ffa4c7ba7eba38564157a5d\mix.wav,train\source\1f738cec5ffa4c7ba7eba38564157a5d\1.wav,train\source\1f738cec5ffa4c7ba7eba38564157a5d\2.wav,15.0
train\mix\1f7d029ff2454096a3918bd87c962282\mix.wav,train\source\1f7d029ff2454096a3918bd87c962282\1.wav,train\source\1f7d029ff2454096a3918bd87c962282\2.wav,15.0
train\mix\1f870c56b5a2415ea7329f586c41c4bd\mix.wav,train\source\1f870c56b5a2415ea7329f586c41c4bd\1.wav,train\source\1f870c56b5a2415ea7329f586c41c4bd\2.wav,15.0
train\mix\1fd6f0bd67144702910f54e66ae9cadf\mix.wav,train\source\1fd6f0bd67144702910f54e66ae9cadf\1.wav,train\source\1fd6f0bd67144702910f54e66ae9cadf\2.wav,15.0
train\mix\1ffb9bede6944fdba46472592e5db505\mix.wav,train\source\1ffb9bede6944fdba46472592e5db505\1.wav,train\source\1ffb9bede6944fdba46472592e5db505\2.wav,15.0
